start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Nov 13 2011,51,4,3,1,5,5,1,1987.8695864908032,01h 32m 48s
Sep 03 2011,2,7,3,1,1,10,1,829.1148323980656,01h 40m 18s
Oct 06 2011,8,7,3,1,1,10,1,655.4340708919726,00h 54m 14s
Feb 12 2011,17,4,99,1,1,11,1,1019.0939443953104,00h 56m 56s
Sep 17 2011,2,3,3,1,1,5,1,790.2483118956226,00h 52m 25s
Jan 03 2011,9,3,99,1,1,10,1,734.5844468847878,01h 57m 00s
Jan 17 2011,19,3,3,1,1,10,1,527.8240444672803,01h 09m 47s
Oct 28 2011,51,4,3,1,5,5,1,668.7945335694899,01h 18m 18s
Jan 27 2011,17,3,3,1,1,11,1,701.2848974237634,01h 45m 32s
Nov 19 2011,19,3,3,1,1,10,1,938.6697820205552,00h 41m 49s
Nov 02 2011,2,4,3,1,5,5,1,957.3230081854706,01h 53m 24s
Nov 05 2011,9,3,99,1,1,11,1,1126.6031529815846,02h 34m 09s
Aug 04 2011,2,7,3,1,1,10,1,847.638315623238,01h 44m 32s
Dec 24 2011,17,3,3,1,1,11,1,470.44691655474924,01h 09m 36s
Mar 15 2011,8,7,1,1,7,93,1,886.0648972972525,01h 47m 22s
Aug 02 2011,2,4,3,1,7,5,1,815.8871643115657,01h 37m 40s
Feb 11 2011,51,4,3,1,5,5,1,748.4789054542375,00h 53m 58s
May 13 2011,8,7,1,1,1,93,1,1068.6851597379077,01h 48m 03s
Jun 30 2011,8,7,1,1,7,93,1,815.1799374401505,01h 44m 12s
Oct 04 2011,17,3,3,1,1,11,1,574.0728256816478,01h 42m 05s
Nov 04 2011,17,3,3,1,1,11,1,771.4571731692727,01h 47m 28s
Jan 31 2011,8,7,3,1,1,10,1,553.5793174429166,02h 06m 47s
Feb 19 2011,2,7,3,1,1,10,1,1616.3473010257967,00h 58m 58s
Sep 23 2011,2,4,1,1,1,5,1,662.9559107855778,01h 32m 47s
Jul 14 2011,8,7,3,1,5,93,1,951.3412775348685,01h 35m 12s
Feb 19 2011,17,3,1,1,8,6,1,1445.605283490516,00h 56m 28s
Dec 20 2011,51,3,3,1,1,11,1,618.0491729623785,03h 10m 51s
Jun 20 2011,9,3,3,1,1,10,1,1035.2876832963673,01h 22m 01s
Mar 09 2011,19,3,99,1,1,10,1,1257.5015474496468,01h 25m 18s
Dec 06 2011,17,3,3,1,1,11,1,518.1070182934349,02h 52m 46s
Aug 23 2011,17,3,3,1,1,11,1,896.5709067147138,01h 34m 59s
Mar 17 2011,51,4,3,1,5,5,1,1434.6572126394262,01h 01m 16s
Feb 05 2011,51,4,3,1,5,5,1,822.3492203593196,01h 51m 47s
Jun 15 2011,2,4,3,1,5,5,1,1069.6420367190033,01h 47m 00s
Apr 14 2011,51,4,3,1,1,5,1,924.8229553075473,01h 25m 06s
Jan 19 2011,19,3,3,1,1,10,1,603.5288817899373,01h 14m 40s
Jun 15 2011,17,3,99,1,1,11,1,1007.9760759343749,00h 50m 15s
Oct 26 2011,51,4,3,1,1,5,1,700.3615819791291,01h 27m 41s
Nov 28 2011,9,3,99,1,5,11,1,6.0219999999999996e+23,00h 00m 00s
Oct 12 2011,5,3,3,1,1,10,1,6.024035819294183e+23,01h 02m 43s
Nov 23 2011,17,3,99,1,1,11,1,1059.0645504487304,01h 56m 15s
Apr 04 2011,9,3,99,1,1,11,1,1760.6313159667486,02h 29m 50s
Jun 16 2011,19,3,3,1,1,10,1,946.804850593487,00h 58m 43s
Jan 09 2011,8,7,3,1,1,10,1,795.8060828180919,01h 52m 53s
Jan 27 2011,8,7,3,1,1,10,1,702.7659293753511,01h 52m 09s
Nov 07 2011,19,3,3,1,1,10,1,911.9317415718209,00h 59m 16s
Oct 25 2011,19,3,3,1,1,10,1,823.3974543006475,04h 45m 39s
