start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
May 02 2011,10,7,99,4,1,6,1,1002.7262493231367,01h 16m 53s
Apr 22 2011,13,4,2,3,2,10,2,6.0219999999999996e+23,00:00:00
Jul 06 2011,8,24,2,5,8,5,1,947.0613732517822,04h 04m 38s
Aug 19 2011,8,4,24,3,8,3,1,6.0219999999999996e+23,00:00:00
Jul 06 2011,21,1,4,7,5,6,1,6.0219999999999996e+23,06h 00m 05s
Jun 14 2011,1,5,1,1,8,1,1,971.0300641553539,00h 26m 57s
Mar 05 2011,6,5,99,7,9,5,1,6.0219999999999996e+23,06h 00m 03s
Jul 02 2011,11,4,4,4,12,14,1,829.0687917164585,03h 34m 04s
Sep 11 2011,4,5,3,5,12,5,1,631.003769226938,03h 53m 49s
Jun 07 2011,14,99,5,7,8,1,1,858.0906327545072,01h 06m 11s
Aug 22 2011,1,4,2,4,9,93,1,931.727515519689,01h 45m 48s
Dec 13 2011,1,5,1,1,8,5,2,390.1656641422672,01h 37m 48s
Dec 17 2011,18,4,4,7,2,93,1,6.0219999999999996e+23,00h 00m 10s
May 30 2011,4,4,3,4,12,14,1,963.9664407188308,01h 42m 44s
Dec 07 2011,11,5,4,5,12,5,1,6.0219999999999996e+23,06h 00m 00s
Sep 25 2011,4,5,2,5,12,5,1,771.8612407417987,03h 41m 02s
May 04 2011,1,4,4,4,8,93,1,853.8447603547881,01h 13m 27s
Jun 18 2011,6,5,99,7,9,14,1,1063.755028733118,02h 12m 54s
Jul 09 2011,11,4,3,4,12,1,1,1137.733811731266,02h 03m 53s
May 08 2011,6,4,3,4,12,14,1,914.2302602504255,01h 13m 55s
Apr 14 2011,11,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 03s
Mar 20 2011,6,5,99,7,9,1,1,1002.8168826768626,01h 27m 48s
Sep 13 2011,4,5,4,5,12,5,1,872.9781708850875,03h 27m 03s
Dec 14 2011,6,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 04s
Jan 01 2011,6,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 08s
Jun 21 2011,1,4,2,4,8,93,1,1058.7016662671122,01h 03m 21s
May 31 2011,11,4,3,4,12,14,1,1063.3704333512128,03h 21m 07s
Dec 07 2011,18,5,4,7,2,93,2,6.0219999999999996e+23,01h 15m 51s
Sep 02 2011,1,4,1,1,8,5,1,859.4505919550802,00h 56m 02s
Aug 29 2011,6,5,99,7,9,1,1,1108.4957821603994,01h 24m 25s
Jul 01 2011,6,5,99,7,9,1,1,1103.1527614743368,03h 03m 05s
Mar 22 2011,1,4,2,4,8,93,1,981.5036707216688,01h 07m 07s
Jun 09 2011,22,5,2,5,5,99,1,1257.9728664079366,04h 48m 40s
